LMT: +02:20:54
Transition[Overlap at 1880-01-01T00:00+02:20:54 to +02:20:40]
Transition[Gap at 1994-04-01T00:00+02:00 to +03:00]
Transition[Overlap at 1994-08-28T00:00+03:00 to +02:00]
Transition[Gap at 1995-03-31T00:00+02:00 to +03:00]
Transition[Overlap at 1995-09-03T00:00+03:00 to +02:00]
Transition[Gap at 1996-03-15T00:00+02:00 to +03:00]
Transition[Overlap at 1996-09-16T00:00+03:00 to +02:00]
Transition[Gap at 1997-03-21T00:00+02:00 to +03:00]
Transition[Overlap at 1997-09-14T00:00+03:00 to +02:00]
Transition[Gap at 1998-03-20T00:00+02:00 to +03:00]
Transition[Overlap at 1998-09-06T00:00+03:00 to +02:00]
Transition[Gap at 1999-04-02T02:00+02:00 to +03:00]
Transition[Overlap at 1999-09-03T02:00+03:00 to +02:00]
Transition[Gap at 2000-04-14T02:00+02:00 to +03:00]
Transition[Overlap at 2000-10-06T01:00+03:00 to +02:00]
Transition[Gap at 2001-04-09T01:00+02:00 to +03:00]
Transition[Overlap at 2001-09-24T01:00+03:00 to +02:00]
Transition[Gap at 2002-03-29T01:00+02:00 to +03:00]
Transition[Overlap at 2002-10-07T01:00+03:00 to +02:00]
Transition[Gap at 2003-03-28T01:00+02:00 to +03:00]
Transition[Overlap at 2003-10-03T01:00+03:00 to +02:00]
Transition[Gap at 2004-04-07T01:00+02:00 to +03:00]
Transition[Overlap at 2004-09-22T01:00+03:00 to +02:00]
Transition[Gap at 2005-04-01T02:00+02:00 to +03:00]
Transition[Overlap at 2005-10-09T02:00+03:00 to +02:00]
Transition[Gap at 2006-03-31T02:00+02:00 to +03:00]
Transition[Overlap at 2006-10-01T02:00+03:00 to +02:00]
Transition[Gap at 2007-03-30T02:00+02:00 to +03:00]
Transition[Overlap at 2007-09-16T02:00+03:00 to +02:00]
Transition[Gap at 2008-03-28T02:00+02:00 to +03:00]
Transition[Overlap at 2008-10-05T02:00+03:00 to +02:00]
Transition[Gap at 2009-03-27T02:00+02:00 to +03:00]
Transition[Overlap at 2009-09-27T02:00+03:00 to +02:00]
Transition[Gap at 2010-03-26T02:00+02:00 to +03:00]
Transition[Overlap at 2010-09-12T02:00+03:00 to +02:00]
Transition[Gap at 2011-04-01T02:00+02:00 to +03:00]
Transition[Overlap at 2011-10-02T02:00+03:00 to +02:00]
Transition[Gap at 2012-03-30T02:00+02:00 to +03:00]
Transition[Overlap at 2012-09-23T02:00+03:00 to +02:00]
Transition[Gap at 2013-03-29T02:00+02:00 to +03:00]
Transition[Overlap at 2013-10-27T02:00+03:00 to +02:00]
Transition[Gap at 2014-03-28T02:00+02:00 to +03:00]
Transition[Overlap at 2014-10-26T02:00+03:00 to +02:00]
TransitionRule[Gap +02:00 to +03:00, FRIDAY on or after MARCH 23 at 02:00 WALL, standard offset +02:00]
TransitionRule[Overlap +03:00 to +02:00, SUNDAY on or after OCTOBER 25 at 02:00 WALL, standard offset +02:00]
