LMT: +01:55:52
Transition[Gap at 1880-01-01T00:00+01:55:52 to +01:56:56]
Transition[Overlap at 2010-10-31T04:00+03:00 to +02:00]
Transition[Gap at 2011-03-28T03:00+02:00 to +03:00]
Transition[Overlap at 2011-10-30T04:00+03:00 to +02:00]
Transition[Gap at 2012-03-25T03:00+02:00 to +03:00]
Transition[Overlap at 2012-10-28T04:00+03:00 to +02:00]
Transition[Gap at 2013-03-31T03:00+02:00 to +03:00]
Transition[Overlap at 2013-10-27T04:00+03:00 to +02:00]
Transition[Gap at 2014-03-31T03:00+02:00 to +03:00]
Transition[Overlap at 2014-10-26T04:00+03:00 to +02:00]
Transition[Gap at 2015-03-29T03:00+02:00 to +03:00]
Transition[Overlap at 2015-10-25T04:00+03:00 to +02:00]
TransitionRule[Gap +02:00 to +03:00, SUNDAY on or after MARCH 25 at 01:00 UTC, standard offset +02:00]
TransitionRule[Overlap +03:00 to +02:00, SUNDAY on or after OCTOBER 25 at 01:00 UTC, standard offset +02:00]
